13	804	1732
3	258	485.9798889160156	282.94537353515625
4	258	419.1564025878906	278.9596862792969
3	259	506.6731262207031	243.1067352294922
4	259	438.08563232421875	239.87461853027344
3	260	507.1700744628906	445.2980651855469
4	260	442.28717041015625	436.3852844238281
3	261	519.0011596679688	235.90382385253906
4	261	449.4347839355469	233.016845703125
3	262	566.8309326171875	169.37925720214844
4	262	493.184814453125	168.39022827148438
3	263	573.3345947265625	145.9875946044922
4	263	498.68780517578125	145.9045867919922
5	263	419.5235900878906	140.71136474609375
3	264	595.3634643554688	190.27511596679688
4	264	520.1658325195312	188.38563537597656
2	265	304.1352233886719	126.09322357177734
4	265	163.17617797851562	124.55532836914062
2	266	337.20721435546875	182.18328857421875
4	266	200.2915802001953	183.28890991210938
2	267	352.6382751464844	236.23812866210938
4	267	217.4263916015625	238.096435546875
2	268	361.4913330078125	252.21104431152344
4	268	227.05264282226562	254.20367431640625
2	269	382.7922058105469	221.0993194580078
4	269	247.8367156982422	222.5382537841797
2	270	388.12005615234375	168.6817169189453
4	270	251.9968719482422	169.98068237304688
2	271	429.4012145996094	203.809814453125
4	271	293.46246337890625	204.9151153564453
2	272	434.99658203125	265.047119140625
4	272	300.0581970214844	265.13446044921875
2	273	447.7759704589844	249.93675231933594
4	273	311.8344421386719	249.8861541748047
2	274	468.2523498535156	255.12005615234375
4	274	331.2572021484375	254.51185607910156
2	275	468.2523498535156	255.12005615234375
4	275	331.2572021484375	254.51185607910156
1	276	411.2102355957031	233.92054748535156
4	276	224.66378784179688	235.612060546875
1	277	410.9811096191406	276.95013427734375
4	277	226.05426025390625	279.0572509765625
1	278	425.2060241699219	195.70408630371094
4	278	237.52134704589844	197.20518493652344
5	278	159.63717651367188	191.12261962890625
1	279	436.1369934082031	276.8166198730469
4	279	250.9523468017578	277.8271789550781
1	280	448.49810791015625	295.9395751953125
4	280	263.35748291015625	296.2713928222656
1	281	459.04229736328125	218.70960998535156
4	281	270.95184326171875	219.85409545898438
1	282	469.2238464355469	265.38385009765625
4	282	282.1121826171875	265.3467102050781
1	283	494.0782775878906	282.7109375
4	283	305.5697021484375	281.0951843261719
0	284	431.80926513671875	193.02674865722656
4	284	192.95509338378906	194.0295867919922
4	285	212.8346710205078	149.34571838378906
5	285	131.8363800048828	141.41015625
4	286	250.06590270996094	231.47694396972656
5	286	173.6634063720703	226.45408630371094
